Strand	locus1	locus2	code	code2	Gene name	SEG	Chr
-	6002051	6003148	NC_000011	56A4	OR56A4	__SEG__	Chr11
+	5736517	5737491	NC_000011	56B1	OR56B1	__SEG__	Chr11
+	6107779	6108738	NC_000011	56B4	OR56B4	__SEG__	Chr11
+	58030953	58031906	NC_000011	6Q1	OR6Q1	__SEG__	Chr11
-	123753580	123754518	NC_000011	6X1	OR6X1	__SEG__	Chr11
+	124570069	124571049	NC_000011	8A1	OR8A1	__SEG__	Chr11
-	124542722	124543654	NC_000011	8B12	OR8B12	__SEG__	Chr11
-	124423942	124424871	NC_000011	8B4	OR8B4	__SEG__	Chr11
+	123906432	123907376	NC_000011	8D4	OR8D4	__SEG__	Chr11
+	124264827	124265867	NC_000011	8G5	OR8G5	__SEG__	Chr11
-	56290127	56291062	NC_000011	8H1	OR8H1	__SEG__	Chr11
+	56105043	56105981	NC_000011	8H2	OR8H2	__SEG__	Chr11
+	56122373	56123311	NC_000011	8H3	OR8H3	__SEG__	Chr11
+	56318307	56319245	NC_000011	8K3	OR8K3	__SEG__	Chr11
+	56375624	56376553	NC_000011	8U1	OR8U1	__SEG__	Chr11
+	56360247	56361197	NC_000011	8J1	OR8J1	__SEG__	Chr11
-	58118500	58119444	NC_000011	9I1	OR9I1	__SEG__	Chr11
+	58179445	58180377	NC_000011	9Q1	OR9Q1	__SEG__	Chr11
+	56700388	56701305	NC_000011	9G1	OR9G1	__SEG__	Chr11
-	58507176	58508105	NC_000011	5B21	OR5B21	__SEG__	Chr11
-	4923374	4924339	NC_000011	51G1	OR51G1	__SEG__	Chr11
-	4914719	4915663	NC_000011	51G2	OR51G2	__SEG__	Chr11
-	56542340	56543257	NC_000011	5M11	OR5M11	__SEG__	Chr11
-	49981572	49982501	NC_000011	4C12	OR4C12	__SEG__	Chr11
+	54706885	54707832	NC_000011	4A5	OR4A5	__SEG__	Chr11
+	55343201	55344187	NC_000011	4A16	OR4A16	__SEG__	Chr11
+	55367884	55368918	NC_000011	4A15	OR4A15	__SEG__	Chr11
-	56490435	56491370	NC_000011	5M8	OR5M8	__SEG__	Chr11
+	58190491	58191435	NC_000011	9Q2	OR9Q2	__SEG__	Chr11
-	56742828	56743811	NC_000011	9G4	OR9G4	__SEG__	Chr11
-	5440570	5441514	NC_000011	51I1	OR51I1	__SEG__	Chr11
-	5544561	5545523	NC_000011	52H1	OR52H1	__SEG__	Chr11
+	56988914	56989843	NC_000011	5AK2	OR5AK2	__SEG__	Chr11
-	59712916	59713845	NC_000011	10V1	OR10V1	__SEG__	Chr11
-	123805408	123806349	NC_000011	6M1	OR6M1	__SEG__	Chr11
-	4946159	4947100	NC_000011	51A4	OR51A4	__SEG__	Chr11
-	71582367	71582837	NC_000011	5-11	KRTAP5-11	__SEG__	Chr11
-	58402465	58403409	NC_000011	5B3	OR5B3	__SEG__	Chr11
+	48216810	48217739	NC_000011	4B1	OR4B1	__SEG__	Chr11
-	58358125	58359069	NC_000011	5B17	OR5B17	__SEG__	Chr11
-	55967558	55968463	NC_000011	10AG1	OR10AG1	__SEG__	Chr11
+	56176618	56177556	NC_000011	5J2	OR5J2	__SEG__	Chr11
+	48488793	48489722	NC_000011	4A47	OR4A47	__SEG__	Chr11
+	50032874	50033794	NC_000011	4C45	OR4C45	__SEG__	Chr11
-	58422332	58423261	NC_000011	5B2	OR5B2	__SEG__	Chr11
-	5342586	5343524	NC_000011	51B5	OR51B5	__SEG__	Chr11
-	1584413	1585249	NC_000011	5-1	KRTAP5-1	__SEG__	Chr11
+	1697246	1697635	NC_000011	5-6	KRTAP5-6	__SEG__	Chr11
+	71527301	71527798	NC_000011	5-7	KRTAP5-7	__SEG__	Chr11
-	1607669	1608385	NC_000011	5-3	KRTAP5-3	__SEG__	Chr11
+	71565588	71566196	NC_000011	5-10	KRTAP5-10	__SEG__	Chr11
+	124919751	124920017	NC_000011	protein	HEPN1	__SEG__	Chr11
-	3227861	3228799	NC_000011	E	MRGPRE	__SEG__	Chr11
-	59210715	59212865	NC_000011	precursor	MPEG1	__SEG__	Chr11
+	13009577	13011100	NC_000011	10	RASSF10	__SEG__	Chr11

-	10852864	10854945	NC_000011	5	ZBED5	__SEG__	Chr11
+	90085950	90087131	NC_000011	1	UBTFL1	__SEG__	Chr11
+	43942905	43943273	NC_000011	C11orf96	C11orf96	__SEG__	Chr11
+	61508999	61509877	NC_000011	10B	LRRC10B	__SEG__	Chr11
-	5967553	5968494	NC_000011	56A5	OR56A5	__SEG__	Chr11
+	95025558	95027078	NC_000011	4E	KDM4E	__SEG__	Chr11
-	3217944	3218813	NC_000011	G	MRGPRG	__SEG__	Chr11

+	75241050	75242198	NC_000011	precursor	TPBGL	__SEG__	Chr11
-	11351944	11353119	NC_000011	polypeptide-like	CSNK2A3	__SEG__	Chr11
+	124224693	124225607	NC_000011	8G2	OR8G2P	__SEG__	Chr11
+	797626	798273	NC_000011	1	PANO1	__SEG__	Chr11
+	1995197	1995652	NC_000011	suppressor	HOTS	__SEG__	Chr11
-	1621407	1622093	NC_000011	1	KRTAP5-4	__SEG__	Chr11
+	5069572	5070497	NC_000011	52E1	OR52E1	__SEG__	Chr11
-	48365485	48366465	NC_000011	4C5	OR4C5	__SEG__	Chr11
+	5402597	5403547	NC_000011	51J1	OR51J1	__SEG__	Chr11
+	56412696	56413683	NC_000011	5AL1	OR5AL1	__SEG__	Chr11
-	5177714	5178610	NC_000011	52Z1	OR52Z1	__SEG__	Chr11
-	4859656	4860564	NC_000011	51H1	OR51H1	__SEG__	Chr11
+	124185270	124186208	NC_000011	10D3	OR10D3	__SEG__	Chr11
-	123994163	123995161	NC_000011	precursor	OR10G6	__SEG__	Chr11


-	30010717	30012678	NC_000011	4	KCNA4	__SEG__	Chr11

+	78063882	78064322	NC_000011	protein	THRSP	__SEG__	Chr11
-	2928906	2929364	NC_000011	2	PHLDA2	__SEG__	Chr11
-	6794725	6795708	NC_000011	6A2	OR6A2	__SEG__	Chr11
-	55993681	55994625	NC_000011	5F1	OR5F1	__SEG__	Chr11
-	6891574	6892500	NC_000011	2D2	OR2D2	__SEG__	Chr11
+	96390650	96392224	NC_000011	homolog-like	JRKL	__SEG__	Chr11
+	61795362	61796504	NC_000011	1	FEN1	__SEG__	Chr11
-	60852535	60853722	NC_000011	2	PTGDR2	__SEG__	Chr11

-	2269751	2270332	NC_000011	2	ASCL2	__SEG__	Chr11
+	71548658	71549167	NC_000011	5-9	KRTAP5-9	__SEG__	Chr11
+	77102840	77103331	NC_000011	protein	OMP	__SEG__	Chr11
-	55935456	55936400	NC_000011	5I1	OR5I1	__SEG__	Chr11
+	65320899	65321531	NC_000011	2	CDC42EP2	__SEG__	Chr11
+	65890784	65891392	NC_000011	85B	CCDC85B	__SEG__	Chr11
-	5151431	5152369	NC_000011	52A1	OR52A1	__SEG__	Chr11
-	124440150	124441085	NC_000011	8B8	OR8B8	__SEG__	Chr11
-	65116442	65117653	NC_000011	2	ZNHIT2	__SEG__	Chr11
+	35618637	35619950	NC_000011	precursor	FJX1	__SEG__	Chr11
+	7089121	7090299	NC_000011	X-linked-like-2	RBMXL2	__SEG__	Chr11
-	788127	788576	NC_000011	1	CEND1	__SEG__	Chr11
+	94997373	94998944	NC_000011	4D	KDM4D	__SEG__	Chr11
-	66590466	66593015	NC_000011	87	CCDC87	__SEG__	Chr11

-	8937616	8938161	NC_000011	3	ASCL3	__SEG__	Chr11
+	71538056	71538619	NC_000011	5-8	KRTAP5-8	__SEG__	Chr11
-	22624686	22625810	NC_000011	protein	FANCF	__SEG__	Chr11
-	4681749	4682711	NC_000011	51E2	OR51E2	__SEG__	Chr11
+	119335123	119336424	NC_000011	RNF26	RNF26	__SEG__	Chr11
-	5301014	5301946	NC_000011	51B4	OR51B4	__SEG__	Chr11
-	5323359	5324297	NC_000011	51B2	OR51B2	__SEG__	Chr11
-	19055410	19056402	NC_000011	X2	MRGPRX2	__SEG__	Chr11
+	18137203	18138171	NC_000011	X3	MRGPRX3	__SEG__	Chr11
+	18173257	18174225	NC_000011	X4	MRGPRX4	__SEG__	Chr11


+	65355809	65357224	NC_000011	3	TIGD3	__SEG__	Chr11
-	18933816	18934784	NC_000011	X1	MRGPRX1	__SEG__	Chr11
+	4652527	4653483	NC_000011	51E1	OR51E1	__SEG__	Chr11
-	85685006	85686130	NC_000011	89	CCDC89	__SEG__	Chr11
-	7795974	7796942	NC_000011	5P2	OR5P2	__SEG__	Chr11
-	7825037	7825972	NC_000011	5P3	OR5P3	__SEG__	Chr11

+	6845683	6846636	NC_000011	10A5	OR10A5	__SEG__	Chr11
-	68980021	68980986	NC_000011	D	MRGPRD	__SEG__	Chr11
+	26994527	26995162	NC_000011	precursor	FIBIN	__SEG__	Chr11
-	62687792	62688508	NC_000011	precursor	LRRN4CL	__SEG__	Chr11
-	67451312	67452724	NC_000011	152	GPR152	__SEG__	Chr11
+	6876648	6877595	NC_000011	10A4	OR10A4	__SEG__	Chr11
-	58266941	58267858	NC_000011	10W1	OR10W1	__SEG__	Chr11
-	111296104	111296478	NC_000011	1	COLCA1	__SEG__	Chr11
+	45213085	45213798	NC_000011	LOC101060179	LOC101060179	__SEG__	Chr11
+	74496906	74498084	NC_000011	X1	LOC100287896	__SEG__	Chr11
+	1055781	1056878	NC_000011	X1	LOC101927503	__SEG__	Chr11
+	95067227	95068075	NC_000011	X1	SRSF8	__SEG__	Chr11
-	47589821	47590810	NC_000011	X1	C1QTNF4	__SEG__	Chr11
+	125899369	125900268	NC_000011	X1	HYLS1	__SEG__	Chr11
-	123942867	123943664	NC_000011	X1	OR6T1	__SEG__	Chr11
-	124382402	124383343	NC_000011	X1	OR8B2	__SEG__	Chr11
-	75088751	75089713	NC_000011	X1	OR2AT4	__SEG__	Chr11
-	17386919	17387830	NC_000011	X1	KCNJ11	__SEG__	Chr11
+	5754741	5755706	NC_000011	X1	OR52N4	__SEG__	Chr11
-	124396410	124397351	NC_000011	X1	OR8B3	__SEG__	Chr11
-	3827563	3828138	NC_000011	X1	RHOG	__SEG__	Chr11
+	73234160	73235293	NC_000011	X1	P2RY2	__SEG__	Chr11
-	73873115	73873378	NC_000011	X2	COA4	__SEG__	Chr11
-	40114370	40116292	NC_000011	X1	LRRC4C	__SEG__	Chr11
-	14891544	14891903	NC_000011	LOC107984314	LOC107984314	__SEG__	Chr11
-	67117684	67118535	NC_000011	LOC107984341	LOC107984341	__SEG__	Chr11
+	120169810	120170781	NC_000011	LOC107984399	LOC107984399	__SEG__	Chr11
+	64116268	64118292	NC_000011	X1	FLRT1	__SEG__	Chr11
-	93221454	93221630	NC_000011	proteolipid-like	LOC112268080	__SEG__	Chr11
+	4911379	4912866	NC_000012	1	KCNA1	__SEG__	Chr12
-	48202339	48203292	NC_000012	10AD1	OR10AD1	__SEG__	Chr12
+	55320600	55321538	NC_000012	6C1	OR6C1	__SEG__	Chr12
+	55426254	55427192	NC_000012	6C76	OR6C76	__SEG__	Chr12
+	55129769	55130776	NC_000012	9K2	OR9K2	__SEG__	Chr12
+	55221025	55221975	NC_000012	10A7	OR10A7	__SEG__	Chr12
-	55294288	55295232	NC_000012	6C6	OR6C6	__SEG__	Chr12
+	55551227	55552156	NC_000012	6C4	OR6C4	__SEG__	Chr12
+	55365111	55366049	NC_000012	6C75	OR6C75	__SEG__	Chr12
-	55469200	55470138	NC_000012	6C70	OR6C70	__SEG__	Chr12
+	55400529	55401467	NC_000012	6C65	OR6C65	__SEG__	Chr12
+	55492378	55493316	NC_000012	6C68	OR6C68	__SEG__	Chr12
+	104303935	104304936	NC_000012	3	EID3	__SEG__	Chr12
+	48184123	48184707	NC_000012	184	CCDC184	__SEG__	Chr12

+	27696563	27697273	NC_000012	protein	REP15	__SEG__	Chr12
+	116575943	116576320	NC_000012	precursor	MAP1LC3B2	__SEG__	Chr12
-	11133285	11134244	NC_000012	30	TAS2R30	__SEG__	Chr12
+	74538113	74538406	NC_000012	3B	ATXN7L3B	__SEG__	Chr12
-	6620130	6621248	NC_000012	5	LPAR5	__SEG__	Chr12
-	47077434	47079002	NC_000012	precursor	AMIGO2	__SEG__	Chr12
+	55574415	55575344	NC_000012	2AP1	OR2AP1	__SEG__	Chr12
+	11171357	11171563	NC_000012	1	SMIM10L1	__SEG__	Chr12
-	8058737	8060185	NC_000012	receptor	C3AR1	__SEG__	Chr12
+	5044148	5045989	NC_000012	5	KCNA5	__SEG__	Chr12
+	102958245	102958955	NC_000012	1	ASCL1	__SEG__	Chr12
-	122715574	122716737	NC_000012	3	HCAR3	__SEG__	Chr12

+	56995210	56996424	NC_000012	182	GPR182	__SEG__	Chr12
-	76030536	76031741	NC_000012	1	PHLDA1	__SEG__	Chr12
+	48472665	48473060	NC_000012	D	ANP32D	__SEG__	Chr12
-	57002779	57004917	NC_000012	39	ZBTB39	__SEG__	Chr12

+	55026440	55027435	NC_000012	4	NEUROD4	__SEG__	Chr12
-	10809137	10810075	NC_000012	9	TAS2R9	__SEG__	Chr12
-	10806051	10806980	NC_000012	8	TAS2R8	__SEG__	Chr12
-	10801614	10802570	NC_000012	7	TAS2R7	__SEG__	Chr12
-	10908387	10909298	NC_000012	13	TAS2R13	__SEG__	Chr12
-	10825346	10826269	NC_000012	10	TAS2R10	__SEG__	Chr12
-	122729299	122730339	NC_000012	1	HCAR1	__SEG__	Chr12
+	56120563	56121867	NC_000012	10	ZC3H10	__SEG__	Chr12
+	50120044	50120217	NC_000012	COX14	COX14	__SEG__	Chr12
+	18738269	18739168	NC_000012	alpha-3	CAPZA3	__SEG__	Chr12
+	55331701	55332636	NC_000012	6C3	OR6C3	__SEG__	Chr12
+	55452214	55453152	NC_000012	6C2	OR6C2	__SEG__	Chr12
+	124012145	124012930	NC_000012	664	ZNF664	__SEG__	Chr12
-	90953522	90954742	NC_000012	1	CCER1	__SEG__	Chr12

-	11091300	11092229	NC_000012	43	TAS2R43	__SEG__	Chr12
-	11030406	11031335	NC_000012	31	TAS2R31	__SEG__	Chr12
-	11061365	11062294	NC_000012	46	TAS2R46	__SEG__	Chr12
-	11021672	11022571	NC_000012	19	TAS2R19	__SEG__	Chr12
-	10996946	10997875	NC_000012	20	TAS2R20	__SEG__	Chr12
-	10985961	10986860	NC_000012	50	TAS2R50	__SEG__	Chr12
-	122702192	122703283	NC_000012	2	HCAR2	__SEG__	Chr12

-	11185993	11186937	NC_000012	42	TAS2R42	__SEG__	Chr12
-	108591532	108592383	NC_000012	precursor	TMEM119	__SEG__	Chr12
+	48329292	48330059	NC_000012	histone	H1FNT	__SEG__	Chr12
-	69610005	69610838	NC_000012	10	LRRC10	__SEG__	Chr12
+	107775216	107775737	NC_000012	4	ASCL4	__SEG__	Chr12
+	55636892	55637833	NC_000012	10P1	OR10P1	__SEG__	Chr12

-	54362661	54363851	NC_000012	X1	GPR84	__SEG__	Chr12
-	131663774	131664418	NC_000012	LOC100996701	LOC100996701	__SEG__	Chr12
-	133120284	133121918	NC_000012	X1	ZNF891	__SEG__	Chr12
+	14822936	14823673	NC_000012	X1	C12orf60	__SEG__	Chr12
+	55247288	55248226	NC_000012	X1	OR6C74	__SEG__	Chr12
+	4810042	4811631	NC_000012	X1	KCNA6	__SEG__	Chr12
-	14806003	14806680	NC_000012	X1	SMCO3	__SEG__	Chr12
-	106977557	106978714	NC_000012	X1	MTERF2	__SEG__	Chr12
-	116881032	116881307	NC_000012	X1	HRK	__SEG__	Chr12
+	47235064	47236362	NC_000012	X1	PCED1B	__SEG__	Chr12
-	1529840	1530946	NC_000012	chain-like	LOC107984507	__SEG__	Chr12
-	132433304	132434368	NC_000012	LOC105370092	LOC105370092	__SEG__	Chr12
+	127145922	127146473	NC_000012	LOC107984449	LOC107984449	__SEG__	Chr12
+	52642493	52643455	NC_000013	2	HNRNPA1L2	__SEG__	Chr13
-	20222695	20223480	NC_000013	protein	GJB6	__SEG__	Chr13
+	114323843	114326281	NC_000013	1	CHAMP1	__SEG__	Chr13

+	48706818	48707858	NC_000013	2	CYSLTR2	__SEG__	Chr13
-	77661376	77662626	NC_000013	ENSP00000383144	LOC100129307	__SEG__	Chr13
+	51865379	51866080	NC_000013	precursor	CCDC70	__SEG__	Chr13
-	96986746	96987759	NC_000013	1	OXGR1	__SEG__	Chr13
+	30427991	30428455	NC_000013	L5	UBE2L5	__SEG__	Chr13
-	20188901	20189581	NC_000013	protein	GJB2	__SEG__	Chr13
-	35475059	35476138	NC_000013	MAB21L1	MAB21L1	__SEG__	Chr13
-	80336758	80337705	NC_000013	2	SPRY2	__SEG__	Chr13
+	112067659	112068834	NC_000013	SOX-1	SOX1	__SEG__	Chr13
-	94711219	94712049	NC_000013	SOX-21	SOX21	__SEG__	Chr13
+	87675389	87678265	NC_000013	precursor	SLITRK5	__SEG__	Chr13
+	52028805	52031105	NC_000013	C	UTP14C	__SEG__	Chr13
-	20141981	20143288	NC_000013	protein	GJA3	__SEG__	Chr13
+	25096199	25098094	NC_000013	3	PABPC3	__SEG__	Chr13
-	41192203	41194257	NC_000013	7	KBTBD7	__SEG__	Chr13
-	85793983	85796508	NC_000013	precursor	SLITRK6	__SEG__	Chr13

-	83879417	83881507	NC_000013	precursor	SLITRK1	__SEG__	Chr13
-	76885171	76886148	NC_000013	KCTD12	KCTD12	__SEG__	Chr13
+	49630448	49631038	NC_000013	11	ARL11	__SEG__	Chr13
-	37104243	37105256	NC_000013	alpha-like	CSNK1A1L	__SEG__	Chr13
-	41130487	41132511	NC_000013	6	KBTBD6	__SEG__	Chr13
-	45193788	45194567	NC_000013	KCTD4	KCTD4	__SEG__	Chr13
+	36695079	36695402	NC_000013	1	SERTM1	__SEG__	Chr13
-	26758823	26759350	NC_000013	X1	GPR12	__SEG__	Chr13
-	113403378	113408189	NC_000013	X1	LOC101928841	__SEG__	Chr13
-	110713229	110714065	NC_000013	LOC105376684	LOC105376684	__SEG__	Chr13
-	63832664	63832993	NC_000013	21-1	LOC647264	__SEG__	Chr13
-	99295060	99296145	NC_000013	X1	GPR183	__SEG__	Chr13
+	21176917	21177225	NC_000013	X1	MRPL57	__SEG__	Chr13
-	78596152	78596769	NC_000013	LOC107987188	LOC107987188	__SEG__	Chr13
-	113751813	113752805	NC_000013	X2	LOC105377805	__SEG__	Chr13
-	113954666	113956429	NC_000013	X1	C13orf46	__SEG__	Chr13
-	48411389	48412423	NC_000013	X1	LPAR6	__SEG__	Chr13
-	99254877	99255872	NC_000013	X1	GPR18	__SEG__	Chr13
-	46459042	>46459317	NC_000013	21-1-like	LOC112268117	__SEG__	Chr13














+	96263683	96264744	NC_000014	receptor	BDKRB1	__SEG__	Chr14
-	49618784	49619104	NC_000014	L36a-like	RPL36AL	__SEG__	Chr14
+	21665083	21666024	NC_000014	4E2	OR4E2	__SEG__	Chr14
-	20640696	20641691	NC_000014	6S1	OR6S1	__SEG__	Chr14
+	19935667	19936602	NC_000014	4K1	OR4K1	__SEG__	Chr14
+	20242792	20243766	NC_000014	11H4	OR11H4	__SEG__	Chr14
+	20223710	20224702	NC_000014	11H6	OR11H6	__SEG__	Chr14
-	20014261	20015193	NC_000014	4K14	OR4K14	__SEG__	Chr14
-	20033844	20034758	NC_000014	4K13	OR4K13	__SEG__	Chr14
+	20117407	20118438	NC_000014	4K17	OR4K17	__SEG__	Chr14
+	20060045	20060983	NC_000014	4L1	OR4L1	__SEG__	Chr14
+	19827449	19828372	NC_000014	4N2	OR4N2	__SEG__	Chr14
+	20143736	20144662	NC_000014	4N5	OR4N5	__SEG__	Chr14
-	21154937	21156025	NC_000014	5AU1	OR5AU1	__SEG__	Chr14
-	21569803	21570744	NC_000014	10G3	OR10G3	__SEG__	Chr14
-	21633910	21634842	NC_000014	10G2	OR10G2	__SEG__	Chr14
+	19920607	19921578	NC_000014	4K5	OR4K5	__SEG__	Chr14
+	19975519	19976565	NC_000014	4K15	OR4K15	__SEG__	Chr14
+	19876268	19877212	NC_000014	4K2	OR4K2	__SEG__	Chr14
+	20197336	20198373	NC_000014	11G2	OR11G2	__SEG__	Chr14
-	21033818	21034288	NC_000014	precursor	RNASE13	__SEG__	Chr14
+	20510472	20511122	NC_000014	precursor	RNASE10	__SEG__	Chr14
+	18601117	18602097	NC_000014	11H12	OR11H12	__SEG__	Chr14
-	61280092	61281147	NC_000014	50B	TMEM30B	__SEG__	Chr14
-	20590280	20590723	NC_000014	precursor	RNASE12	__SEG__	Chr14
+	38209390	38210565	NC_000014	1	SSTR1	__SEG__	Chr14

+	23042226	23043128	NC_000014	precursor	PSMB11	__SEG__	Chr14
-	100880712	100884788	NC_000014	1	RTL1	__SEG__	Chr14
+	24315652	24316710	NC_000014	1	LTB4R	__SEG__	Chr14
+	24310665	24311741	NC_000014	2	LTB4R2	__SEG__	Chr14
-	31482964	31483965	NC_000014	33	GPR33	__SEG__	Chr14
-	19712936	19713916	NC_000014	11H2	OR11H2	__SEG__	Chr14
-	69571499	69573622	NC_000014	177	CCDC177	__SEG__	Chr14
-	21669988	21670935	NC_000014	4E1	OR4E1	__SEG__	Chr14
+	105528835	105529794	NC_000014	121	TMEM121	__SEG__	Chr14
-	22633768	22634811	NC_000014	6J1	OR6J1	__SEG__	Chr14
-	19868197	19869173	NC_000014	4K3	OR4K3	__SEG__	Chr14
+	20002163	20003105	NC_000014	4Q2	OR4Q2	__SEG__	Chr14
+	20229402	20230346	NC_000014	11H7	OR11H7	__SEG__	Chr14
-	102506936	102507889	NC_000014	9	ANKRD9	__SEG__	Chr14

+	49893737	49894264	NC_000014	6	ARF6	__SEG__	Chr14

+	20955772	20956257	NC_000014	precursor	RNASE2	__SEG__	Chr14
+	20891687	20892169	NC_000014	precursor	RNASE3	__SEG__	Chr14

+	70457500	70459668	NC_000014	preproprotein	ADAM21	__SEG__	Chr14
-	70522577	70524907	NC_000014	preproprotein	ADAM20	__SEG__	Chr14
+	64468395	64469678	NC_000014	5	AKAP5	__SEG__	Chr14
+	28767280	28768749	NC_000014	G1	FOXG1	__SEG__	Chr14
-	73712578	73713639	NC_000014	Ma1	PNMA1	__SEG__	Chr14
-	105011204	105011929	NC_000014	4	CDCA4	__SEG__	Chr14

+	64540850	64542769	NC_000014	2	HSPA2	__SEG__	Chr14
-	93183187	93184242	NC_000014	1	MOAP1	__SEG__	Chr14
+	20770151	20770594	NC_000014	precursor	EDDM3B	__SEG__	Chr14
-	77025402	77027792	NC_000014	protein-like	IRF2BPL	__SEG__	Chr14
+	73491018	73492943	NC_000014	1	RIOX1	__SEG__	Chr14
-	44504510	44506987	NC_000014	protein	FSCB	__SEG__	Chr14
+	21042993	21043463	NC_000014	precursor	RNASE7	__SEG__	Chr14
+	35534253	35535953	NC_000014	2	INSM2	__SEG__	Chr14
-	46651092	46651736	NC_000014	L10-like	RPL10L	__SEG__	Chr14
+	55043042	55044364	NC_000014	4	SOCS4	__SEG__	Chr14
+	21057893	21058357	NC_000014	precursor	RNASE8	__SEG__	Chr14
-	20583875	20584474	NC_000014	precursor	RNASE11	__SEG__	Chr14
-	38254550	38256022	NC_000014	precursor	CLEC14A	__SEG__	Chr14
+	20699372	20699815	NC_000014	precursor	RNASE4	__SEG__	Chr14
-	20801598	20802068	NC_000014	precursor	RNASE1	__SEG__	Chr14






























































-	91233953	91235080	NC_000014	X1	GPR68	__SEG__	Chr14
-	95463473	95463952	NC_000014	LOC105370641	LOC105370641	__SEG__	Chr14
+	104801198	104802466	NC_000014	X1	ZBTB42	__SEG__	Chr14
+	20747581	20748024	NC_000014	X1	EDDM3A	__SEG__	Chr14
+	85621515	85623497	NC_000014	X1	FLRT2	__SEG__	Chr14
+	23097659	23098081	NC_000014	X1	C14orf119	__SEG__	Chr14
+	20781700	20782152	NC_000014	X1	RNASE6	__SEG__	Chr14
-	59463742	59465226	NC_000014	X1	GPR135	__SEG__	Chr14
+	103711363	103711824	NC_000014	LOC107984648	LOC107984648	__SEG__	Chr14
+	105731567	105732544	NC_000014	LOC107987211	LOC107987211	__SEG__	Chr14
+	34874896	34875489	NC_000014	gp1-like	LOC112268124	__SEG__	Chr14

+	101818187	101819125	NC_000015	4F15	OR4F15	__SEG__	Chr15
-	101922142	101923059	NC_000015	4F4	OR4F4	__SEG__	Chr15
+	22080625	22081566	NC_000015	4M2	OR4M2	__SEG__	Chr15
+	22094522	22095472	NC_000015	4N4	OR4N4	__SEG__	Chr15
+	101805720	101806658	NC_000015	4F6	OR4F6	__SEG__	Chr15
+	65076816	65078192	NC_000015	13	KBTBD13	__SEG__	Chr15
+	40770496	40771023	NC_000015	precursor	C15orf62	__SEG__	Chr15
+	79293285	79294892	NC_000015	34C	ANKRD34C	__SEG__	Chr15
-	40281444	40282586	NC_000015	63	ANKRD63	__SEG__	Chr15
+	40324056	40324517	NC_000015	INAFM2	INAFM2	__SEG__	Chr15
+	34062718	34064316	NC_000015	M5	CHRM5	__SEG__	Chr15
+	90240909	90242066	NC_000015	1	GDPGP1	__SEG__	Chr15
-	72676054	72676374	NC_000015	2B	HIGD2B	__SEG__	Chr15
-	80201770	80201949	NC_000015	1	CTXND1	__SEG__	Chr15
-	35084193	35085110	NC_000015	NANOGP8	NANOGP8	__SEG__	Chr15

+	59618239	59619555	NC_000015	3	GCNT3	__SEG__	Chr15
+	23565783	23567306	NC_000015	makorin-3	MKRN3	__SEG__	Chr15
+	60004964	60005941	NC_000015	B1	FOXB1	__SEG__	Chr15
-	34981359	34983434	NC_000015	770	ZNF770	__SEG__	Chr15
+	48878177	48878740	NC_000015	1	EID1	__SEG__	Chr15
-	43328429	43330489	NC_000015	4	LCMT2	__SEG__	Chr15
-	74955984	74956583	NC_000015	p25	RPP25	__SEG__	Chr15
-	75639614	75640168	NC_000015	IMP3	IMP3	__SEG__	Chr15
+	24675868	24679338	NC_000015	1	NPAP1	__SEG__	Chr15
-	23643993	23647742	NC_000015	2	MAGEL2	__SEG__	Chr15
-	85768041	85769810	NC_000015	25	KLHL25	__SEG__	Chr15
+	81002272	81003360	NC_000015	1	TLNRD1	__SEG__	Chr15
+	59206941	59208086	NC_000015	6B	LDHAL6B	__SEG__	Chr15
+	40471214	40472344	NC_000015	14	CHST14	__SEG__	Chr15
-	29268791	29269705	NC_000015	homolog	NSMCE3	__SEG__	Chr15
+	34102532	34104289	NC_000015	4	PGBD4	__SEG__	Chr15
+	74174859	74176145	NC_000015	precursor	ISLR	__SEG__	Chr15
+	62067614	62068723	NC_000015	4A	C2CD4A	__SEG__	Chr15
+	93206194	93206739	NC_000015	UNQ9370/PRO34162	LOC105370980	__SEG__	Chr15
-	62163890	62164984	NC_000015	X1	C2CD4B	__SEG__	Chr15
+	48201301	48201546	NC_000015	X1	CTXN2	__SEG__	Chr15
-	55515451	55516224	NC_000015	LOC107984745	LOC107984745	__SEG__	Chr15
-	101479062	101479967	NC_000015	LOC107984751	LOC107984751	__SEG__	Chr15
-	55317628	55317792	NC_000015	X1	PIGBOS1	__SEG__	Chr15
+	19114462	19116069	NC_000016	precursor	ITPRIPL2	__SEG__	Chr16
-	2530330	2531073	NC_000016	1	CEMP1	__SEG__	Chr16


+	71536678	71537838	NC_000016	4	CHST4	__SEG__	Chr16
+	1078869	1079963	NC_000016	5	SSTR5	__SEG__	Chr16

-	60358455	60359702	NC_000016	ENSP00000381418	LOC729159	__SEG__	Chr16
-	71283608	71285920	NC_000016	2	CMTR2	__SEG__	Chr16
+	66884285	66885874	NC_000016	precursor	PDP2	__SEG__	Chr16
-	31435803	31436849	NC_000016	843	ZNF843	__SEG__	Chr16
+	89919259	89920212	NC_000016	receptor	MC1R	__SEG__	Chr16

